country,position,rank_change,download,upload,latency
Uganda,155,+3,14.04,14.80,8
Iran,156,-,13.78,3.51,29
Algeria,157,+3,13.63,3.26,19
Bhutan,158,-9,13.53,21.75,5
Vanuatu,159,+6,13.29,9.36,41
Namibia,160,-5,13.00,9.06,20
Sudan,161,+3,12.71,9.03,116
Lebanon,162,+4,12.49,8.80,12
Libya,163,-1,12.38,7.38,24
Papua New Guinea,164,-10,12.08,7.57,41
Suriname,165,-4,11.66,5.95,19
Maldives,166,-7,11.58,11.18,7
Kenya,167,-,11.17,12.43,11
Guinea,168,-,9.66,4.91,9
Liberia,169,+2,9.32,7.74,15
Tunisia,170,-,9.29,2.39,26
Cameroon,171,-2,9.12,3.25,175
Ethiopia,172,-,8.88,7.70,18
Botswana,173,-,8.84,7.63,24
Yemen,174,+1,7.39,2.22,36
Niger,175,+1,7.24,5.78,26
Turkmenistan,176,-2,7.21,7.21,85
East Timor,177,+2,6.34,8.60,5
Burundi,178,-1,6.04,6.12,20
The Gambia,179,-1,5.66,4.59,25
Syria,180,-,4.05,9.88,15
Afghanistan,181,-,3.40,2.33,23
Cuba,182,-,2.92,1.03,103
