city,position,rank_change,download,upload,latency
Minsk,154,-8,19.00,9.57,23
Managua,155,-1,18.66,11.69,22
Luanda,156,-,17.86,9.43,22
Aleppo,157,-,17.23,2.91,29
Asuncion,158,-9,17.10,8.34,29
Arequipa,159,-,16.92,12.99,27
Caracas,160,-5,14.53,8.10,27
Ulaanbaatar,161,-4,13.28,5.98,20
Dushanbe,162,-2,11.13,8.92,19
Santa Cruz de la Sierra,163,-5,11.00,9.22,24
Sana'a,164,-12,10.88,15.71,18
Gomel,165,-6,9.48,9.26,32
La Paz,166,-5,9.01,11.09,18
Kabul,167,-5,5.78,2.95,23
Havana,168,-5,5.08,3.18,122
